premise_name,opening_date,closing_date,premise_address1
DUKE HOSPITAL SOUTH,10/13/1994 12:00:00 AM,,2100 ERWIN ROAD
DUKE REGIONAL HOSPITAL,9/28/1994 12:00:00 AM,,3642 N ROXBORO RD
NC SPECIALTY HOSPITAL,6/13/2005 12:00:00 AM,,3916 BEN FRANKLIN BLVD
THE ASBURY PRE SCHOOL,3/13/1995 12:00:00 AM,,806 CLARENDON
BETHESDA CHILD CARE CENTER  1,11/9/1994 12:00:00 AM,,1914 S MIAMI BLVD
BRIGHT HORIZONS AT NORTH DURHAM,4/24/1995 12:00:00 AM,,4205 CAPITOL BLVD
BROWN'S EARLY LEARNING SCHOOL,1/25/1995 12:00:00 AM,,2724 ATLANTIC ST
ACADEMY OF STARS,2/8/1995 12:00:00 AM,,1222 HOLLOWAY ST
BRYSONS CHRISTIAN MONTESSORI SCHOOL,11/8/1994 12:00:00 AM,,2811 UNIVERSITY DR
BRYSONS CHRIST MONTES SCH  2,9/19/1995 12:00:00 AM,,6701 GARRETT RD
CALVARY CHILD CARE,3/23/1995 12:00:00 AM,,1204 LYNN RD
CHILDREN FIRST DAY CARE,3/27/1995 12:00:00 AM,,1211 CARROLL ST
CRESSET PRESCHOOL,1/17/1995 12:00:00 AM,,3707 GARRETT RD
DEBORAH'S DAY CARE,8/11/1994 12:00:00 AM,,1801 STAGE RD
BRIGHT HORIZONS @RTP,1/12/1995 12:00:00 AM,,10  TW ALEXANDER DR. /UNC TV DR.
ERNESTINE E BROWN DAYCARE,1/9/1995 12:00:00 AM,,1118 HOLLOWAY
FIRST PRESBYTERIAN DAY SCHOOL,3/15/1995 12:00:00 AM,,305 E MAIN ST
FREELANDS DAY CARE #1,8/30/1994 12:00:00 AM,,608 N HYDE PARK AVE
BRIGHT HORIZONS AT RTP SO-HI,3/21/1995 12:00:00 AM,,2352 SO-HI DRIVE
GORMAN EARLY LEARNING CENTER,8/24/1994 12:00:00 AM,,3315 E GEER STREET
GREENWOOD SCHOOL OF DISCOVERY,2/13/1995 12:00:00 AM,,1307 WOODCROFT PKWY
HOPE VALLEY PRESCHOOL,10/18/1994 12:00:00 AM,,1600 W HWY 54
KIDDIE KOLLEGE NO 1,1/11/1995 12:00:00 AM,,618 HOPE STREET
KIDDIE KOLLEGE NO 2,1/10/1995 12:00:00 AM,,1708 ATHENS STREET
KINDER CARE LEARNING CENTER 518,3/22/1995 12:00:00 AM,,3106 N DUKE ST
KINDER CARE LEARNING CENTER,8/18/1994 12:00:00 AM,,3703 UNIVERSITY DRIVE
KIN I,1/10/1995 12:00:00 AM,,1006 BROAD ST
KIN TOO,1/10/1995 12:00:00 AM,,1416 BROAD ST
LA PETITE ACADEMY,3/9/1995 12:00:00 AM,,5115 HIGHGATE DRIVE
LA PETITE ACADEMY,11/7/1994 12:00:00 AM,,4022 WAKE FOREST HWY
LAKEWOOD AVE CHILDRENS SCH,2/1/1995 12:00:00 AM,,1701 LAKEWOOD AVE
THE LEARNING CIRCLE,2/7/1995 12:00:00 AM,,1231 TRALEA
LITTLE LEARNERS DAY CARE,2/3/1995 12:00:00 AM,,711 BERWYN AVE
MT SYLVAN UNITED METHODIST PRESCHOOL,2/14/1995 12:00:00 AM,,5731 N ROXBORO RD
MT ZION CHRISTIAN DAY CARE,8/25/1994 12:00:00 AM,,3519 FAYETTEVILLE ST
NCCU CHILD DEVELOPMENT LAB,3/30/1995 12:00:00 AM,,NCCU HOME ECONOMICS BLDG
PARKWOOD BAPTIST  DAY CARE,2/9/1995 12:00:00 AM,,1515 CLERMONT RD
PRIMARY COLORS DAY CARE,8/9/1994 12:00:00 AM,,3008 DIXON ROAD
ROSE OF SHARON DAY CARE,10/27/1994 12:00:00 AM,,4109 GUESS RD
RUSSELL MEMORIAL DAY CARE,2/27/1995 12:00:00 AM,,703 S ALSTON AVE
SCARBOROUGH NURSERY,2/15/1995 12:00:00 AM,,309 QUEEN ST
STEPS AND LADDERS CHILD CARE,2/28/1995 12:00:00 AM,,1914 TAYLOR ST
TENDER START DAY CARE,10/28/1994 12:00:00 AM,,2109 N DUKE ST
TODDLERS ACADEMY,7/27/1994 12:00:00 AM,,2811 BEECHWOOD DRIVE
TREASURES OF JOY DAY CARE,11/7/1994 12:00:00 AM,,3528 ARLINGTON PLACE
TRIANGLE DAY CARE,1/12/1995 12:00:00 AM,,1301 RIDDLE ROAD
WEAVER STREET PRESCHOOL,2/14/1995 12:00:00 AM,,2419 E WEAVER ST
WEE WISDOM PRESCHOOL,2/22/1995 12:00:00 AM,,1125 DREW ST
YATES BAPTIST CHURCH PRE SCHOOL,3/3/1995 12:00:00 AM,,2819 CHAPEL HILL RD
CHILDCARE NETWORK,7/14/1994 12:00:00 AM,,115 RIPPLING STREAM
CHILDCARE NETWORK  57,1/12/1995 12:00:00 AM,,921 RUBY STREET
IMMACULATA EARLY CHILDHOOD CENTER,11/17/1994 12:00:00 AM,,721 BURCH AVE
BRYSONS CHRISTIAN MONTESSORI  3,2/6/1995 12:00:00 AM,,6701 GARRETT RD
LITTLE ANGELS DAY CARE,2/13/1995 12:00:00 AM,,2212 CHARLES ST
LOVE N JOY CHILD ACADEMY,9/19/1995 12:00:00 AM,,807 RIDGEWAY AVE
TUTOR TIME,1/30/1996 12:00:00 AM,,1912 CHAPEL HILL RD
DESTINYS WAY DAY CARE,4/1/1996 12:00:00 AM,,413 EAST END AVENUE
LOVE N CARE CHILD ACADEMY,4/25/1996 12:00:00 AM,,212 DAVIDSON AVE
BRIGHT HORIZONS AT IMPERIAL CTR,7/9/1996 12:00:00 AM,,1012 SLATER ROAD
LIBERTY BAPTIST DAY CARE,8/27/1996 12:00:00 AM,,3864 GUESS RD
CREATIVE SCHOOL AT DAVIS PARK,7/16/1997 12:00:00 AM,,4523 HOPSON RD
PASSION LEARNING CHILD CARE CENTER,11/20/1997 12:00:00 AM,,904 FISKE ST
FAITH ASSEMBLY CHRISTIAN CCC,1/15/1998 12:00:00 AM,,3120 FAYETTEVILLE ST
WHITE ROCK CHILD DEV CENTER,8/21/1998 12:00:00 AM,,3400 FAYETTEVILLE ST
JEWISH COMMUNITY DAY SCHOOL,12/3/1998 12:00:00 AM,,1935 CORNWALLIS RD
LOVING CARING SHARING,5/28/1999 12:00:00 AM,,1516 RIDGEWAY AVE
NEW BEGINNINGS HOME CHILD CARE,8/6/1999 12:00:00 AM,,1834 LIBERTY ST
MCQUEENS AMAZING CHANGES DAY CARE,5/30/2000 12:00:00 AM,,124 S WOODCREST ST
LANDEEINGDAM DOSLAND,3/17/2000 12:00:00 AM,,1915 CROWELL ST
BEAUTIFUL BEGINNING,10/29/2001 12:00:00 AM,,1222 N ALSTON AVE
CAROLINA FRIENDS DURHAM EARLY,10/29/2001 12:00:00 AM,,404 ALEXANDER AVE
DUKE CHILDRENS CAMPUS,10/29/2001 12:00:00 AM,,511 ALEXANDER AVE
TENDERCARE LEARNING CTR,9/18/2002 12:00:00 AM,,3617 DUKE HOMESTEAD RD
KINGS KID CHILD DEV CTR,2/3/2004 12:00:00 AM,,1914 HWY 55
VICTORIOUS DAY CARE/PRESCHOOL,5/28/2003 12:00:00 AM,,2416 PAGE RD
BUTTERFLY KISSES ACADEMY,5/28/2003 12:00:00 AM,,3627 GUESS RD
TREASURES OF JOY CLC,10/6/2003 12:00:00 AM,,3500 S ALSTON AVE
21ST CENTURY CHILD CARE CENTER,11/17/2003 12:00:00 AM,,100 WITTENBURG WAY
GINGERBREAD CHILD DEV CTR,6/15/2004 12:00:00 AM,,3224 DEARBORN DR
EASTWAY SAC CLUB,8/30/2004 12:00:00 AM,,610 N ALSTON AVE
LAKEWOOD SAC CLUB,8/30/2004 12:00:00 AM,,2520 VESSAN AVE
CC SPAULDING SAC CLUB,8/30/2004 12:00:00 AM,,1531 S ROXBORO ST
GREAT HORIZONS PRE SCHOOL,10/21/2004 12:00:00 AM,,5755 N ROXBORO RD
NEW LIFE CHILD DEVELOPMENT,12/21/2004 12:00:00 AM,,7415 FAYETTEVILLE RD
SOUTHWEST SAC CLUB,12/21/2004 12:00:00 AM,,2320 COOK RD
GLENN ELEMENTARY SAC CLUB,12/21/2004 12:00:00 AM,,2415 E GEER ST
MERRICK MOORE SAC CLUB,12/21/2004 12:00:00 AM,,2325 CHEEK RD
E K POWE SAC CLUB,12/21/2004 12:00:00 AM,,913 NINTH ST
HOLT SAC CLUB,12/21/2004 12:00:00 AM,,4019 HILT SCHOOL RD
RN HARRIS SAC CLUB,1/26/2005 12:00:00 AM,,1520 COOPER ST
ENO VALLEY SAC CLUB,1/26/2005 12:00:00 AM,,117 MILTON RD
CREEKSIDE SAC CLUB,1/26/2005 12:00:00 AM,,5321 EPHESUS CHURCH RD
PRIMROSE SCHOOL AT HOPE VALLEY,3/8/2005 12:00:00 AM,,702 JULIETTE DR
THE LEARNING GARDEN,3/8/2005 12:00:00 AM,,3816 SOUTHWEST DURHAM RD
HARVEST LEARNING CENTER,3/29/2005 12:00:00 AM,,2400 NELSON HWY
YE SMITH SAC CLUB,4/27/2005 12:00:00 AM,,2410 E MAIN STREET
TESSIES DAY CARE,4/25/2005 12:00:00 AM,,1421 BROAD ST
CLUB BLVD SAC CLUB,4/25/2005 12:00:00 AM,,400 W CLUB BLVD
HILLANDALE SAC CLUB,5/17/2005 12:00:00 AM,,2730 HILLANDALE ROAD
LITTLE RIVER SAC CLUB,6/13/2005 12:00:00 AM,,2215 SNOW HILL RD
FORESTVIEW SAC LUB,6/13/2005 12:00:00 AM,,3005 MT SINAI RD
PLAYHAVEN ACADEMY,6/13/2005 12:00:00 AM,,215 GOODWIN RD
EASLEY SAC CLUB,8/1/2005 12:00:00 AM,,302 LEBANON CIRCLE
HOPE VALLEY SAC CLUB,8/1/2005 12:00:00 AM,,3005 DIXON RD
BETHESDA SAC CLUB,8/17/2005 12:00:00 AM,,2009 S MIAMI BLVD
CHILDRENS CAMPUS OF SOUTHPOINT,8/16/2005 12:00:00 AM,,7317 FAYETTEVILLE RD
FIRST ENVIRONMENTS EARLY LEARN,3/12/2007 12:00:00 AM,,109 T W ALEXANDER DR
FELLOWSHIP BAPTIST DAY CARE,2/2/2006 12:00:00 AM,,515 SOUTHERLAND ST
PARKWOOD SAC CLUB,5/24/2006 12:00:00 AM,,5207 REVERE RD
KIDS LEARNING CENTER,4/10/2006 12:00:00 AM,,4210 NC HWY 55
BRIGHT HORIZONS FAMILY SOLUTIONS,6/6/2006 12:00:00 AM,,1968 IVY CREEK BLVD
MANGUM ELEMENTARY SCI SAC CLU,9/27/2006 12:00:00 AM,,9058 QUAIL ROAST RD
PEARSONTOWN SAC CLUB,6/6/2006 12:00:00 AM,,4915 BARBEE ROAD
GEORGE WATTS MONTESSOURI,8/2/2006 12:00:00 AM,,700 WATTS ST
MOREHEAD MONTESSOURI MAGNET,8/2/2006 12:00:00 AM,,909 COBB ST
OAK GROVE SAC CLUB,9/6/2006 12:00:00 AM,,3810 WAKE FOREST HWY
ALICE IN WONDERLAND,10/16/2006 12:00:00 AM,,2100 S MIAMI BLVD
POBABY DEVELOPMENT ACADEMY,8/23/2007 12:00:00 AM,,3815 BOOKER ST
LEAP OF FAITH,9/25/2007 12:00:00 AM,,702 E. MAYNARD AVE
CHILDCARE NETWORK # 166,9/25/2007 12:00:00 AM,,117 WOODCROFT PKWY
KIDS R KIDS,9/25/2007 12:00:00 AM,,2502 PRESIDENTIAL DRIVE
FIRST CHRONICLES DAY CARE CTR,3/19/2008 12:00:00 AM,,712 LINWOOD AVE
BETHESDA ELEM SCHOOL,5/1/1995 12:00:00 AM,,2009 S MIAMI BLVD
BROGDEN JR HIGH SCHOOL,11/17/1994 12:00:00 AM,,1001 LEON ST
BURTON SCHOOL,3/16/1995 12:00:00 AM,,1500 MATHESON ST.
CARRINGTON MIDDLE SCHOOL,2/1/1995 12:00:00 AM,,227 MILTON RD
SCHOOL FOR CREATIVE STUDIES,5/31/1995 12:00:00 AM,,5001 RED MILL ROAD
CLUB BOULEVARD SCHOOL,9/14/1994 12:00:00 AM,,400 CLUB BLVD
DURHAM SCHOOL OF THE ARTS,5/2/1995 12:00:00 AM,,401 N DUKE ST
EASLEY ELEM SCHOOL,11/17/1994 12:00:00 AM,,302 LEBANON CIRCLE
ENO VALLEY ELEM SCH,5/3/1995 12:00:00 AM,,117 MILTON RD
FAYETTEVILLE ST SCHOOL,5/2/1995 12:00:00 AM,,2905 FAYETTTEVILLE
FOREST VIEW ELEM SCH,3/21/1995 12:00:00 AM,,3007 MT SINAI RD
GLENN SCHOOL,3/17/1995 12:00:00 AM,,2415 E GEER ST
R N HARRIS ELEM,5/3/1995 12:00:00 AM,,1520 COOPER ST
HILLANDALE ELEM,5/31/1995 12:00:00 AM,,2730 HILLANDALE RD
HILLSIDE HIGH,5/31/1995 12:00:00 AM,,3727 FAYETTEVILLE ST
HOLT SCHOOL,5/25/1995 12:00:00 AM,,4019 SCHOOL RD
JORDAN HIGH SCHOOL,9/22/1994 12:00:00 AM,,6806 GARRETT RD
LAKEWOOD ELEM SCHOOL,3/20/1995 12:00:00 AM,,2520 VESSON ST
LITTLE RIVER ELEM SCH,4/4/1995 12:00:00 AM,,2315 SNOW HILL RD
LOWES GROVE MIDDLE SCHOOL,5/26/1995 12:00:00 AM,,4418 S ALSTON AVE
MANGUM SCHOOL,4/4/1995 12:00:00 AM,,9008 QUIL ROOST RD
MERRICK MOORE SCHOOL,8/16/1995 12:00:00 AM,,2325 CHEEK ROAD
MOREHEAD SCHOOL,3/20/1995 12:00:00 AM,,909 W COBB ST
JOHN W NEAL MIDDLE,3/20/1995 12:00:00 AM,,201 BAPTIST RD
NORTHERN HIGH SCHOOL,8/16/1995 12:00:00 AM,,117 TOM WILKINSON RD
OAK GROVE SCHOOL,3/20/1995 12:00:00 AM,,3810 WAKE FOREST HWY
PARKWOOD SCHOOL,5/1/1995 12:00:00 AM,,5207 REVERE
PEARSONTOWN SCHOOL,5/1/1995 12:00:00 AM,,4915 BARBEE RD
E K POWE SCHOOL,4/24/1995 12:00:00 AM,,913 NINTH ST
RIVERSIDE,8/7/1996 12:00:00 AM,,3218 ROSE OF SHARON RD
ROGERS HERR MIDDLE SCHOOL,9/22/1994 12:00:00 AM,,911 W CORNWALLIS
SHEPHARD MIDDLE SCHOOL,5/3/1995 12:00:00 AM,,2401 DAKOTA ST
SHERWOOD GITHENS MIDDLE SCHOOL,9/21/1994 12:00:00 AM,,4800 CHAPEL HILL RD
Y E SMITH,3/21/1995 12:00:00 AM,,2410 E MAIN ST
SOUTHERN HIGH SCHOOL,5/22/1995 12:00:00 AM,,800 CLAYTON RD
SOUTHWEST ELEM SCHOOL,11/15/1994 12:00:00 AM,,2320 COOK RD
C C SPAULDING ELEM,5/2/1995 12:00:00 AM,,1531 S ROXBORO ST
GEORGE WATTS SCHOOL,4/26/1995 12:00:00 AM,,700 WATTS ST
AGAPE CORNER,9/20/1994 12:00:00 AM,,1217 HOLLOWAY ST
CAMELOT ACADEMY,5/4/1995 12:00:00 AM,,809 PROCTOR ST
CRESSETT CHRISTIAN ACADEMY,5/4/1995 12:00:00 AM,,3707 GARRETT RD
DUKE SCHOOL FOR CHILDREN MIDDLE,10/28/1994 12:00:00 AM,,3716 ERWIN RD
DURHAM ACADEMY,5/25/1995 12:00:00 AM,,3116 ACADEMY RD
DURHAM ACADEMY,5/4/1995 12:00:00 AM,,3601 RIDGE RD
IMMACULATA,8/7/1996 12:00:00 AM,,721 BURCH ST
LIBERTY CHRISTIAN SCHOOL,8/16/1995 12:00:00 AM,,3864 GUESS ROAD
MT ZION CHRISTIAN ACADEMY,8/16/1995 12:00:00 AM,,3519 FAYETTEVILLE RD
TABERNACLE OF LIFE CHRISTIAN SCHOOL,10/28/1994 12:00:00 AM,,2400 SOVEREIGN ST
TRIANGLE DAY SCHOOL,8/16/1995 12:00:00 AM,,4911 NEAL ROAD
MONTESSORI COMMUNITY SCHOOL,9/12/1994 12:00:00 AM,,4512 POPE ROAD
JEWISH COMM DAY SCH OF DURHAM,4/5/1995 12:00:00 AM,,2115 CORNWALLIS RD
FELLOWSHIP BAPTIST ACADEMY,9/18/1995 12:00:00 AM,,515 SOUTHERLAND ST
HILLSIDE NEW TECH.,9/19/1995 12:00:00 AM,,3727 FAYETTEVILLE ST
EASTWAY,1/23/1996 12:00:00 AM,,610 N ALSTON AVE
BETHESDA CHRISTIAN ACADEMY,9/11/1997 12:00:00 AM,,1914 S MIAMI BLVD
QUALITY EDUCATION INSTITUTE,12/3/1998 12:00:00 AM,,800 ELMIRA ST
HOPE VALLEY ELEMENTARY,9/5/2001 12:00:00 AM,,3005 DIXON RD
GORMAN CHRISTIAN ACADEMY,1/3/2000 12:00:00 AM,,3315 E GEER ST
LAKEVIEW SCHOOL,7/26/2002 12:00:00 AM,,3507 DEARBORN DR
HILL CENTER  THE,5/15/2003 12:00:00 AM,,3200 PICKETT RD
DURHAM ACADEMY PRE/LOWER SCHOO,5/15/2003 12:00:00 AM,,3501 RIDGE
TRINITY SCHOOL,11/17/2003 12:00:00 AM,,4011 PICKETT ROAD
FIVE OAKS CHRISTIAN SCHOOL,6/15/2004 12:00:00 AM,,4124 FARRINGTON ROAD
CENTRAL PARK SCHOOL FOR CHILDR,9/2/2004 12:00:00 AM,,724 FOSTER ST
CREEKSIDE ELEMENTARY,1/26/2005 12:00:00 AM,,5321 EPHESUS CHURCH ROAD
NATIONAL HERITAGE ACADEMY,3/8/2005 12:00:00 AM,,2418 ELLIS RD
W G PEARSON,1/23/2008 12:00:00 AM,,3501 FAYETTEVILLE STREET
YOUTH DETENTION HOME,6/9/1994 12:00:00 AM,,2432 BROAD ST
DURHAM CO DETENTION FACILITY,7/8/1996 12:00:00 AM,,219 S MANGUM ST
TROSA,3/3/2003 12:00:00 AM,,1001 NORTH ST
TROSA,4/3/2003 12:00:00 AM,,216 RIGSBEE AVE
COUNCIL  FOR SENIOR CITIZENS ADULT DAY PROGRAM,7/19/2006 12:00:00 AM,,406 RIGSBEE AVE
ASHLEY FOREST,7/14/1994 12:00:00 AM,,3301 APPLING WAY
ATRIUM APTS,7/5/1994 12:00:00 AM,,3800 MERIWETHER
AZALEA PARK APTS,7/20/1994 12:00:00 AM,,2105 BOGARDE ST
BAINBRIDGE IN THE PARK APTS,7/27/1994 12:00:00 AM,,2800 BAINBRIDGE DR
BEECHLAKE APTS,7/22/1994 12:00:00 AM,,4800 UNIVERSITY DR
BLACK HORSE RUN POOL,7/11/1994 12:00:00 AM,,11402 S LOWELL RD
BRISTOL COURT APARTMENTS,7/22/1994 12:00:00 AM,,610 DOUGLAS ST
NORTHPOINT CROSSING APTS,7/21/1994 12:00:00 AM,,901 CHALK LEVEL RD
CAMP RIVERLEA,7/26/1994 12:00:00 AM,,8302 SOUTH LOWELL RD
CAMP RIVERLEA (SMALL POOL),7/26/1994 12:00:00 AM,,8302 S LOWELL ROAD
BEST VALUE CAROLINA DUKE INN,7/11/1994 12:00:00 AM,,2517 GUESS RD
SEVEN OAKS APTS,8/26/1994 12:00:00 AM,,200 SEVEN OAKS RD
CROASDAILE CROSSINGS,7/18/1994 12:00:00 AM,,2106 FRONT
AMBER OAKS APARTMENTS,7/13/1994 12:00:00 AM,,3501 CENTURY OAKS RD
SPRING RIDGE APARTMENTS,7/13/1994 12:00:00 AM,,1701 EAST CORNWALLIS ROAD
CHAPEL TOWER APTS,8/24/1994 12:00:00 AM,,1315 MORREENE RD
CHIMNEY RIDGE HOA,7/14/1994 12:00:00 AM,,3701 CHIMNEY RIDGE PLACE
LONG MEADOW PARK,7/14/1994 12:00:00 AM,,917 LIBERTY ST
HILLSIDE PARK,7/18/1994 12:00:00 AM,,1221 SAWYER STREET
FOREST HILLS PARK,7/25/1994 12:00:00 AM,,1639 UNIVERSITY DR
COLONIAL APTS,5/24/1995 12:00:00 AM,,2920 CHAPEL HILL RD
COLONY HILL HOA,7/20/1994 12:00:00 AM,,3050 COLONY RD
COLONY PARK HOA,7/20/1994 12:00:00 AM,,2503 TANGLEWOOD ROAD
COMFORT INN UNIVERSITY,7/14/1994 12:00:00 AM,,3508 NEW MT MORIAH RD
CRICKET INN,7/13/1994 12:00:00 AM,,1815 FRONT ST
CROASDAILE APTS  1,9/8/1994 12:00:00 AM,,1829 FRONT STREET
CROASDAILE APTS  2,5/10/1995 12:00:00 AM,,2808 CROASDAILE DR
CRYSTAL VILLAGE APTS,7/11/1994 12:00:00 AM,,2610-A CAMELLIA ST
DAYS INN,7/8/1994 12:00:00 AM,,5139 REDWOOD ROAD
DOWNING CREEK SWIM CLUB,7/13/1994 12:00:00 AM,,5100 DOWNING CREEK PARKWAY
DOWNING CREEK HOA,7/13/1994 12:00:00 AM,,5100 DOWNING CREEK PARKWAY
DUKE MANOR APARTMENTS,7/22/1994 12:00:00 AM,,311 S LASALLE ST
DUKE MANOR APTS,7/22/1994 12:00:00 AM,,311 S LASALLE ST
DUKE MOTOR LODGE,7/19/1994 12:00:00 AM,,4144 DURHAM/CHAPEL HILL BLVD
DUKE TOWER RESIDENTIAL SUITES,7/13/1994 12:00:00 AM,,807 W TRINITY AVE
DUKE FACULTY CLUB,7/12/1994 12:00:00 AM,,HWY 751 AND SCIENCE DR
DUKE FACULTY CLUB,7/12/1994 12:00:00 AM,,HWY 751 AND SCIENCE DR
DUKE UNIV CENTRAL CAMPUS,4/3/1995 12:00:00 AM,,1917 YEARBY DRIVE
DUKE UNIVER HOUSING THSE APTS,4/27/1995 12:00:00 AM,,301 SWIFT AVE
UNIVERSITY COMMONS,5/24/1995 12:00:00 AM,,1505 DUKE UNIVERSITY RD
DUNBARTON CR AT ALPINE ROAD,7/21/1994 12:00:00 AM,,3279 HOPE VALLEY RD0
DURHAM HILTON,7/18/1994 12:00:00 AM,,3800 HILLSBOROUGH
CAMERON GREEN APTS,7/7/1994 12:00:00 AM,,4512 EMERALD FOREST DRIVE
CAMERON GREEN APTS,7/7/1994 12:00:00 AM,,4512 EMERALD FOREST DR
ENO TRACE,8/25/1994 12:00:00 AM,,4916 SHADEBUSH DR
ENO VALLEY SWIM AND RACQUET CLUB,8/30/1994 12:00:00 AM,,635 RIPPLING STREAM RD
FAIRFIELD COMM ASSOC,7/26/1994 12:00:00 AM,,7611 ROSEMONT PKWY
QUALITY INN AND SUITES,7/18/1994 12:00:00 AM,,3710 HILLSBOROUGH
FALCONBRIDGE COMM CLUB,7/6/1994 12:00:00 AM,,6400 FALCONBRIDGE RD
FINLEY FOREST HOA,7/14/1994 12:00:00 AM,,341 FINLEY FOREST
FIVE OAKS REC ASSOC,8/2/1994 12:00:00 AM,,5109 PINE CONE DR
FOREST APARTMENTS,5/4/1995 12:00:00 AM,,800 WHITE PINE DRIVE
FOREST OAKS TOWNHOMES,7/28/1994 12:00:00 AM,,316 MORREENE
FOXFIRE APTS,5/26/1995 12:00:00 AM,,1400 WYLDEWOODS
FOXFIRE APTS CLUBHOUSE POOL,8/9/1995 12:00:00 AM,,1400 WYLDWOOD ROAD
GARRETT FARMS HOA,7/12/1994 12:00:00 AM,,3715 COTTONWOOD DRIVE
OAK CREEK VILLAGE,8/9/1995 12:00:00 AM,,4230 GARRETT ROAD
GREYSONS GREEN REC ASSOC,7/27/1994 12:00:00 AM,,713 GRANDVIEW
GROVE PARK,7/14/1994 12:00:00 AM,,300 NICHOLS FARM RD
GUEST QUARTERS SUITE HOTEL,7/7/1994 12:00:00 AM,,2515 MERIDIAN PKWY
MEDICAL PARK INN,7/11/1994 12:00:00 AM,,1816 HILLANDALE
HARDSCRABBLE HOA,7/27/1994 12:00:00 AM,,102 HARDSCRABBLE
DAYS INN WEST,7/28/1994 12:00:00 AM,,3460 HILLSBOROUGH
DOUBLETREE BY HILTON RDU,7/21/1994 12:00:00 AM,,4810 PAGE CREEK LANE
HOLLOW ROCK SWIM CLUB,7/7/1994 12:00:00 AM,,5100 ERWIN
HOMESTEAD HEIGHTS SWIM AND TENNIS,8/3/1994 12:00:00 AM,,836 HORTON RD
HOPE VALLEY CC LAP,7/22/1994 12:00:00 AM,,3803 DOVER RD
HOPE VALLEY CC DIVING,7/21/1994 12:00:00 AM,,3803 DOVER RD
HOPE VALLEY FARMS SWIM AND RACQUET,7/27/1994 12:00:00 AM,,4818 S ROXBORO ST
HILTON GARDEN INN RAL/DUR/RTP POOL,7/22/1994 12:00:00 AM,,4620 S MIAMI BLVD
SHERATON IMPERIAL,7/18/1994 12:00:00 AM,,4700 EMPEROR DR
SOUTHPOINT GLEN,7/27/1994 12:00:00 AM,,5800 TATTERSALL DR
INNKEEPER SOUTH,7/18/1994 12:00:00 AM,,4433 HIGHWAY 55
LAKE RIDGE HOA,7/6/1994 12:00:00 AM,,5113 SKYLANE DRIVE
CRESTWOOD SUITES,7/25/1994 12:00:00 AM,,300 MEREDITH DR
MEWS APTS  THE,5/24/1995 12:00:00 AM,,1800 WILLIAMSBURG RD
SUMMIT HILL,7/11/1994 12:00:00 AM,,6123 FARRINGTON RD
MOREENE WEST APTS,7/28/1994 12:00:00 AM,,700 MOREENE RD
PARK PLACE REC ASSN,8/9/1995 12:00:00 AM,,604 KENDALL DRIVE
PARKRIDGE APTS,7/8/1994 12:00:00 AM,,810 PARKRIDGE RD
PARKWOOD SWIM CLUB,7/7/1994 12:00:00 AM,,1615 CLERMONT ROAD
PARKWOOD VILLAGE,7/7/1994 12:00:00 AM,,1304 SEATON RD
WOODLAND CREEK APTS,7/7/1994 12:00:00 AM,,5216 PENRITH DR
PEPERTREE HOA,5/22/1995 12:00:00 AM,,2100 PEPPERTREE STREET
RADISSON GOVERNORS INN,7/8/1994 12:00:00 AM,,150 PARK DRIVE
RED MTN POOL,7/27/1994 12:00:00 AM,,13006 QUARTERHORSE RUN
REGENCY PLACE APTS,7/11/1994 12:00:00 AM,,3523 N ROXBORO ROAD
RESIDENCE INN,4/26/1995 12:00:00 AM,,201 RESIDENCE INN BLVD
ROLLING HILLS HOA,7/25/1994 12:00:00 AM,,POINCIANA DR
ROYAL OAKS APTS,7/12/1994 12:00:00 AM,,3554 WEYMOUTH STREET
TRIANGLE PARK APTS,7/5/1994 12:00:00 AM,,5011 S ALSTON AVE
SOUTH SQUARE TOWNHOMES,7/19/1994 12:00:00 AM,,3300 SHANNON RD
SHERATON IMPERIAL,7/18/1994 12:00:00 AM,,4700 EMPEROR BLVD
SOUTH POINT APTS,8/4/1994 12:00:00 AM,,3201 MYRA ST
AUDUBON LAKE APARTMENTS,7/13/1994 12:00:00 AM,,501 AUDUBON LAKE DRIVE
STONESTHROW APTS,7/5/1994 12:00:00 AM,,3207 STONESTHROW LANE
STONEWALL VILLAGE HOA,8/30/1994 12:00:00 AM,,4540 NEWBY
STONEWOOD APTS,8/24/1994 12:00:00 AM,,4524 NEWBY
STRAWBERRY HILL APTS,7/19/1994 12:00:00 AM,,1321 NEW CASTLE RD
STRUCTURE HOUSE,7/14/1994 12:00:00 AM,,3017 PICKETT ROAD
STRUCTURE HOUSE,7/14/1994 12:00:00 AM,,3017 PICKETT RD
MISSION UNIVERSITY PINES,8/25/1994 12:00:00 AM,,614 SNOWCREST TRAIL
MISSION UNIVERSTY PINES (CABANA POOL),8/25/1994 12:00:00 AM,,614 SNOWCREST TRAIL
TREYBURN CC,8/26/1994 12:00:00 AM,,1 OLD TRAIL DR
UNC FSRA,7/19/1994 12:00:00 AM,,1 ALICE INGRAM CIRCLE
UNC FSRA,7/19/1994 12:00:00 AM,,1 ALICE INGRAM CIRCLE
VALLEY TERRACE APTS,7/22/1994 12:00:00 AM,,2836 CHAPEL HILL RD
VANTAGE POINT REC ASSN,8/25/1994 12:00:00 AM,,5001 STARDUST DR
VILLAGES OF CORNWALLIS,4/28/1995 12:00:00 AM,,3400 YORKTOWN RD
