premise_name,opening_date,closing_date,premise_address1
WAFFLE HOUSE,10/29/1997 12:00:00 AM,,3500 HILLSBOROUGH RD
ARBY'S,10/28/1997 12:00:00 AM,,2115 S HWY 54
CRACKER BARREL  345,1/15/1998 12:00:00 AM,,3706 HILLSBOROUGH RD
SHRIMP BOAT,1/16/1998 12:00:00 AM,,2637 DURHAM CHAPEL HILL BLVD
GOLDEN CORRAL  637,2/16/1998 12:00:00 AM,,5008 APEX HWY  55
AMERICAN HERO,2/16/1998 12:00:00 AM,,3810 N DUKE STREET
JAMES JOYCE,2/16/1998 12:00:00 AM,,912 W MAIN ST
ROLLINGVIEW MARINA SNACK BAR,4/28/1998 12:00:00 AM,,3940 FALLS LAKE ROAD
BAYER CROP SCIENCE SODEXO,5/14/1998 12:00:00 AM,,2 T W ALEXANDER DR
EMERALD POND RETIREMENT,7/7/1998 12:00:00 AM,,205 EMERALD POND LANE
SUBWAY,8/21/1998 12:00:00 AM,,5300 N ROXBORO RD
METRO EXPRESS MARKET & GRILL,9/18/1998 12:00:00 AM,,2500 ERWIN RD
QUIZNO'S SUBS,10/26/1998 12:00:00 AM,,1835 MLK PARKWAY
SUBWAY,10/26/1998 12:00:00 AM,,3500 N ROXBORO RD
TANDOOR IRON GRILL & PIZZA,12/3/1998 12:00:00 AM,,5410 HWY 55
COURTYARD CAFE,1/5/1999 12:00:00 AM,,301 RESIDENCE INN BLVD
SUBWAY,7/24/1992 12:00:00 AM,,3600 HILLSBOROUGH RD
RUBY TUESDAY 3185,5/28/1999 12:00:00 AM,,210 HWY 54
MARRIOT  201,5/28/1999 12:00:00 AM,,201 FOSTER ST
PIPER'S IN THE PARK,9/7/1999 12:00:00 AM,,2945 S MIAMI BLVD
CROASDAILE VILLAGE RETIREMENT C,8/6/1999 12:00:00 AM,,2600 CROSDAILE FARM PKWY
REICHHOLD INC,8/6/1999 12:00:00 AM,,2400 ELLIS RD
ORIENT GARDEN,9/9/1999 12:00:00 AM,,202 WEST NC HWY 54
CHINA BUFFET,8/13/1999 12:00:00 AM,,3720 MAYFAIR ST
HONG KONG CHINESE REST,8/13/1999 12:00:00 AM,,3003 GUESS ROAD
RAINBOW CHINESE RESTAURANT,8/13/1999 12:00:00 AM,,910 W MAIN ST
CHICK-FIL-A,8/13/1999 12:00:00 AM,,3912 N ROXBORO ROAD
